ID,Comments,Sentiments,Keyword1,Keyword2
73,The battery has never worked right. He says he cant use the phone much since the battery dies so often. Wants to know if this is a problem with his phone and if there are other batteries he can try. I referred him to web site.,frustrated,battery,unusable
74,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
75,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
77,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
78,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
79,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
80,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
81,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
83,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
84,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
85,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
86,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
87,He expected significantly better Technical Support.,frustrated,technical,support
88,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
89,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
90,He expected significantly better Technical Support.,frustrated,technical,support
92,He expected significantly better Technical Support.,frustrated,technical,support
94,He expected significantly better Technical Support.,frustrated,technical,support
95,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
96,He expected significantly better Technical Support.,frustrated,technical,support
97,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
104,Cant get his call forwarding to work. I showed him how and how to get a couple of other features to work. I also pointed him to the web site.,frustrated,call forwarding,features
108,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,,lost phone,service suspension
109,Cant get his call forwarding to work. I showed him how and how to get a couple of other features to work. I also pointed him to the web site.,frustrated,call forwarding,features
110,Wants to change address.,,update records,address
111,Cant get his call forwarding to work. I showed him how and how to get a couple of other features to work. I also pointed him to the web site.,frustrated,call forwarding,features
114,Wants to add additional lines for family. Needs more info on rates. I also advised him on the phones with dual SIM options,analytical,dual SIM,family plan
117,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
120,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,,lost phone,service suspension
121,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,,lost phone,service suspension
124,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,,lost phone,service suspension
127,Lost his charger and wants to know where he can another ASAP. I suggested local store.,,lost,charger
130,This customer was very unhappy. He said he will not pay until we get him a new phone. Furthermore he sees no reason why he should pay for a service that did not work.,frustrated,poor service,payment
133,He found a better rate and no contract. He said he could not wait until his contract expired.,disinterest,better offer,cancellation
135,Claims he never received his bill. Was really unhappy that I asked him for his cc. Wanted me to turn on his phone. I switched him to the manager.,upset,bill,service disruption
136,Getting really bad reception with his handset. Hopes this will improve in the near future. Wants to know if this would improve if he switched to 3g.,upset,bad handset,3g
138,Wants to change address.,,update records,address
139,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
140,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,,lost phone,service suspension
142,Hopes to get an additional line working by the end of the week for his wife.,,new number,service
148,Needs help with basic phone usage. I suggested he go back to the store and ask for some help.,,help,support
154,Wants to know why the rate plan is so hard to figure out. He does not believe his anytime minutes are being subtracted properly. He wanted to speak to the manager ASAP.,impolite,rate plan,supervisor
158,Does not understand why he gets charged for roaming. I referred him to the web site.,upset,roaming,billing
160,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
161,He says that we keep sending him the bill to the wrong address. We have his correct billing address. I dont know why he is not getting it. He was very angry that we shut his service off for not paying. I offered to take CC but he was unwilling to do so,impolite,address,service disruption
166,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,,lost phone,service suspension
169,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
174,Asking for a change of address and wants to switch plans. Transfered him to customer care.,,update address,switch plans
178,Hopes to get an additional line working by the end of the week for his wife.,,new number,service
180,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.,,new number,service
181,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.,,new number,service
182,Did not want to wait for us to implement GSM.,,GSM,Cancellation
190,Hopes to get an additional line working by the end of the week for his wife.,,new number,service
191,Hopes to get an additional line working by the end of the week for his wife.,,new number,service
192,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
194,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
195,He wanted credit for all these dropped calls. I told him I would pass him onto a supervisor. He was really rude and very upset. Said he could not use us for business purposes because of our useless service.,impolite,business line,dropped calls
198,Wants information on our Internet service. Referred him to web site.,,information,internet service
201,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
203,He did not realize that changing his rate plan effected the date on his contract. When he found that out he could not wait till his contract ends.,upset,switch plans,contract
205,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
206,Wants to add another phone. Contacting provisioning.,,new line,service
207,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
209,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
213,He is really upset with out false advertising. He thinks that we do not test any of the equipment.,upset,misinformation,bad device
214,He loves the phone when it works. The problem is that the phone malfunctions unpredictably. He thinks the battery is the issue.,satisfied,battery,unpredictability
215,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
218,I needed a handset which also functioned as a PDA. You did not offer such a model.,,handset,PDA
219,Cant believe he was stupid enough to sign a year contract. He thinks that we provide the worst service. The phone is so bad that he would not give it to an enemy. He now realizes you get what you pay for. Transferred to the supervisor,impolite,bad phone,supervisor
220,The handset really sucked. I could not hear anything near my house.,frustrated,handset,coverage / reception / signal
221,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
222,The handset really sucked. I could not hear anything near my house.,frustrated,handset,coverage / reception / signal
224,The handset really sucked. I could not hear anything near my house.,frustrated,handset,coverage / reception / signal
225,Is it possible that the handset is causing brain cancer. I heard about this from the news.,analytical,handset,brain cancer
228,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
229,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
231,The handset never worked well after I dropped it in the toilet. I am surprised it ever worked after that.,upset,handset,water damage
232,I suspect that the handset on my phone was defective from the day I bought it.,upset,handset,defective
233,The signal on my handset was always weak. Even when I replaced the battery.,frustrated,handset,weak signal
234,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
236,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
237,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
238,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
239,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
240,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
241,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
242,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
243,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
244,Phone sucked,frustrated,bad phone,unusable
246,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
247,The clarity of the calls was bad. Way too much static on the handset.,upset,handset,static
249,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
250,He claims his bill always seemed to have calls he did not make.,upset,billing,charges
254,Loves the phone. Wants us  to bring out accessories in different colors and designs. Says he is very satisfied with the performance.,happy,phone,accessories
255,Generally satisfied with the service. But wants us to offer more phones from multiple manufacturers.,satisfied,phones,features
257,Works well except on international roaming. Advised him that it is up to the local network providers. Offered to unlock the phone so that he could use a local SIM. He seems to have understood. ,satisfied,international roaming,unlock
260,He expected significantly better service.,frustrated,service,non-specific grievances
261,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
263,Happy with the phone and the service. Wants to know when we will offer unlimited Internet minutes.,happy,unlimited data plan,future offering
264,Cant wait for us to open the new digital service. He wants to try the new GSM. He says that if it is much later than June he will probably switch to another carrier.,analytical,GSM,switch carrier
265,He does not know if the problems are related to the phone or if it is just the battery.He was willing to test a new battery. I asked him to try that first. If he is still having problems he will call us back.,analytical,phone,battery
266,He asked us to please take him off the outbound call list. In addition wants to change rate plan at the end of the year.,frustrated,remove from marketing campaigns,switch plans
267,Says that his Web reception really is just to slow. Wants to know when he can expect this to work at a decent rate of speed? He also wants to know why it worked so much better at the store?,upset,slow data speed,performance
270,She wants a new phone. Has tried to use a couple of different model and fed up. She is willing to pay some of the cost but wants a credit on her bill. She said her friend has the same service and a different phone that works great.,frustrated,billing,refund
272,The reception near his home is really horrible. He knows exactly when his calls will drop. He wants to know what we are going to do to fix this? He says that if we do not fix it he will go to a different cell company and since our coverage is poor,frustrated,coverage / reception /signal,switch providers
273,His phone still does not work properly. He can not understand it. His last phone worked great but this phone is constantly dropping calls. He asked what he could do? He really just wants his old phone back at this point.,upset,bad phone,return
276,The customer wold like to change his address and complained this should be significantly easier. I am not sure what he means by self service. He also thought the Phone sucked,frustrated,bad phone,unusable.
279,The customer has a number of complaints. His major issue was that the handset buttons were hard to use. He was not happy with the phone at all.,upset,handset,non-specific grievances
280,The customer was very unhappy with the wait time for support. Then he said that his reception was just too unreliable to be of any value.,upset,coverage / reception /signal,unusable
281,Long hold times even for simple questions. I had to wait forever to get help.,frustrated,poor support,long hold times
283,Handset sucked,upset,handset,unusable
284,Handset sucked,upset,handset,unusable
285,Does not like the way the phone works. It is to difficult compared to his last phone.,upset,bad phone,return
286,transferred to the supervisor,,supervisor,delegation
288,transferred to the supervisor,,supervisor,delegation
289,Wanted to know his usage and whether he was roaming. Also want to know the rates when he is roaming. Thinking about changing rate plans as well.,analytical,rates,roaming
290,He does not know if the problems are related to the phone or if it is just the battery.,analytical,phone,battery
291,Very unhappy with new phone because it does not use SIM chip to store addresses. He says he will have to reenter all his information in his phone book and he finds that a waste of time. Claims other companies offer this capability making this easier with their phones.,upset,SIM,contact list migration
295,He does not know if the problems are related to the phone or if it is just the battery.,analytical,phone,battery
298,Wants a new number because he keeps on getting calls for a Mr. Napoleon Leroy.,frustrated,new number,strange calls
302,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
304,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
305,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
306,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
308,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
309,He does not know if the problems are related to the phone or if it is just the battery.,analytical,phone,battery
310,He does not know if the problems are related to the phone or if it is just the battery.,analytical,phone,battery
312,Lost the directions to phone and wants another manual. I referred him to web site.,,user manual,download
313,Asked about coverage in Los Angeles and New York. Is afraid that he will be out of network when traveling.,concerned,coverage / reception / signal,travel
315,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
317,He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.,frustrated,charger,switch carrier
318,He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.,frustrated,charger,switch carrier
320,He claimed that the charger never really worked very well. As a result the phone was always dying on him. He could not wait to get out of his current contract.,frustrated,charger,switch carrier
322,transferred to the supervisor,,supervisor,delegation
326,transferred to the supervisor,,supervisor,delegation
329,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
331,transferred to the supervisor,,supervisor,delegation
332,Called to change his address and see if he could get a new number since he is moving to a different city.,analytical,new number,relocation
333,transferred to the supervisor,,supervisor,delegation
334,transferred to the supervisor,,supervisor,delegation
335,He loves the phone when it works. The problem is that the phone malfunctions unpredictably. He thinks the battery is the issue.,satisfied,battery,unpredictability
336,cant figure out how to check his vm when out of area. I referred him to our web site.,analytical,voice messaging,out of area
337,He found a phone and wanted to know what to do with it. He said it was one of ours but that the battery was dead. Asked who he should send it too.,analytical,found lost phone,traceability
338,Handset sucked,upset,handset,unusable
339,Handset sucked,upset,handset,unusable
341,Handset sucked,upset,handset,unusable
343,Does not like the way the phone works. It is to difficult compared to his last phone.,upset,bad phone,return
346,He complained about receiving outbound calls to his cell from our marketing people. He says that we have sold his personal information and he is on numerous lists. He said that if we continued to do this he would get rid of the service.,concerned,marketing calls,switch carrier
349,Handset sucked,upset,handset,unusable
350,The customer is really unhappy with his internet connectivity. He says the way we charge much higher compared to the competition. Wants to know when we will change our rates or if there are other options for someone who uses it a lot.,upset,data plan,charges
351,He called and said someone stole his phone last week but he did not notice until today. He does not want to pay for any calls made during the last week. I switched him to the supervisor after telling him our policy.,upset,lost phone,delegation
353,He says that his phone works fine when using it in the car with the adapter but the battery performance sucks.,frustrated,car adapter,battery 
354,The battery on the phone just does not last long enough. He charges it and after a couple of calls it simply dies on him. He replaced the battery per our suggestion and he still has the same problem. He says that we should replace the whole phone.,frustrated, charging,battery
355,He is really unhappy with his bill. He says that there are numerous calls he has never made but that show up on his phone. He says that he simply does not trust our system.,frustrated,unknown calls,billing
356,Can not believe the roaming charges. He said that when he signed up that the sales person misled him with respect to what would be covered. In addition he thinks that the reception in many of the cities he travels to is inadequate.,upset,roaming,misinformation
358,Wanted a different rate plan which included roll over minutes. He claims that we are not as competitive as other companies.,upset,rollover minutes,not as good as others
360,He hated the phone. Claims that the reception is horrible in many parts of the metropolitan area.,frustrated,coverage / reception / signal,unusable
361,He hated the phone. Claims that the reception is horrible in many parts of the metropolitan area.,frustrated,coverage / reception / signal,unusable
363,He loves the phone when it works. The problem is that the phone malfunctions unpredictably. He thinks the battery is the issue.,satisfied,battery,unpredictability
365,Hopes to get an additional line working by the end of the week for his wife.,,new number,service
370,He hated the phone. Claims that the reception is horrible in many parts of the metropolitan area.,frustrated,coverage / reception / signal,unusable
372,He hated the phone. Claims that the reception is horrible in many parts of the metropolitan area.,frustrated,coverage / reception / signal,unusable
374,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
375,Wanted more information on the family plan. Also asked about how he could use dual SIM configuration and call screening.,analytical,dual SIM,call screening
377,Claimed his bill had numerous calls that he never made. He started asking me if our billing system ever made mistakes. He said that sometimes he could over hear other phone calls. He thinks he is being charged for those calls.,concerned,unknown calls,billing
379,He found a better rate and no contract. He said he could not wait until his contract expired.,disinterest,better offer,cancellation
382,He found a better rate and no contract. He said he could not wait until his contract expired.,disinterest,better offer,cancellation
383,Handset sucked,upset,handset,unusable
384,Handset sucked,upset,handset,unusable
385,Handset sucked,upset,handset,unusable
386,Wants to change address.,,update records,address
388,Wants to know how to do text messaging. Referred him to web site.,,text messaging,SMS
389,Wants to know how to do text messaging. Referred him to web site.,,text messaging,SMS
391,Wants a new faceplate.,,faceplate,accessory
392,Wants to know how to do text messaging. Referred him to web site.,,text messaging,SMS
394,Wants a new faceplate.,,faceplate,accessory
398,Wants to know how to do text messaging. Referred him to web site.,,text messaging,SMS
401,Wants to know how to do text messaging. Referred him to web site.,,text messaging,SMS
404,Wants to add another phone. Contacting provisioning.,,new line,service
405,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
407,Wants information on our Internet service. Referred him to web site.,,information,internet service
408,Wants information on our Internet service. Referred him to web site.,,information,internet service
410,Wants information on our Internet service. Referred him to web site.,,information,internet service
414,Wants a new faceplate.,,faceplate,accessory
418,Wants a new faceplate.,,faceplate,accessory
419,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
421,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
422,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
423,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
424,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
426,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
427,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
428,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
429,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
431,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
436,Wants to know how to do text messaging. Referred him to web site.,,text messaging,SMS
438,Wants to know how to do text messaging. Referred him to web site.,,text messaging,SMS
439,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
440,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
441,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
442,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
443,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
444,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
445,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
446,Wants to change rate plans to get family all on same bill. I transferred him to customer care.,analytical,rate plan,customer care
450,Called about new plan. Might switch soon. Wants more minutes.,,minutes,switch
455,Called about new plan. Might switch soon. Wants more minutes.,,minutes,switch
456,Called about new plan. Might switch soon. Wants more minutes.,,minutes,switch
458,Wants to change address.,,update records,address
460,Wants to change address.,,update records,address
461,Wants to change address.,,update records,address
462,Wants to add additional lines for family. Needs more info on rates. I also advised him on the phones with dual SIM options,analytical,dual SIM,family plan
463,Wants to change address.,,update records,address
464,Wants to change address.,,update records,address
465,Wants to change address.,,update records,address
466,Wants to change address.,,update records,address
467,Wants to change address.,,update records,address
468,Wants to change address.,,update records,address
469,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
470,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
471,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
472,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
473,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
474,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
475,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
476,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
477,Needed help figuring out his bill. I explained our minute charges.,analytical,billing,charges
478,Unhappy with the website. Phone okay. drops calls sporadically,,website,dropped calls
479,Unhappy with the website. Claims the self service stuff does not work. Phone okay. drops calls sporadically,,website,dropped calls
481,Called about new plan. Might switch soon. Wants more minutes.,,minutes,switch
484,Unhappy with the website. Phone okay. drops calls sporadically,,website,dropped calls
488,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
491,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
492,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
493,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
494,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
495,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
497,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
498,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
499,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
500,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
504,Wants to get an additional line working by the end of the week. Forwarded him on to customer care.,,new number,service
505,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
506,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
508,Needs help with basic phone usage. I suggested he go back to the store and ask for some help.,,help,support
509,Needs help with basic phone usage. I suggested he go back to the store and ask for some help.,,help,support
510,Wanted to know the nearest store location. Wants to buy additional accessories.,,accessories,store
513,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
518,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
520,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
523,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
526,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
529,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
530,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
533,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
534,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
535,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
536,Asked how to install apps on SD card. Described the steps and referred him to the FAQ section on our web site,analytical,SD Card,Apps
541,Asked how to install apps on SD card. Described the steps and referred him to the FAQ section on our web site,analytical,SD Card,Apps
547,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
548,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
549,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
550,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
552,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
554,He charges it and after a couple of calls it simply dies on him. He replaced the battery per our suggestion and he still has the same problem.,frustrated, charging,battery
557,Asked how to install apps on SD card. Described the steps and referred him to the FAQ section on our web site,analytical,SD Card,Apps
560,Asked how to install apps on SD card. Described the steps and referred him to the FAQ section on our web site,analytical,SD Card,Apps
561,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
564,He expected significantly better Technical Support.,frustrated,technical,support
565,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
566,He expected significantly better Technical Support.,frustrated,technical,support
572,He expected significantly better Technical Support.,frustrated,technical,support
573,transferred to the supervisor,,supervisor,delegation
574,He says that his phone works fine when using it in the car with the adapter but the battery performance sucks.,frustrated,car adapter,battery
575,He expected significantly better Technical Support.,frustrated,technical,support
577,Claims the phone does not work well. If the phone does not work consistently why should he pay consistently. Good point.,impolite,performance,payment
580,Does not understand why his phone dies every time he gets to a certain intersection. I explained the concept of towers and wholes in coverage. He said that the sales person never told him about this. He wanted to know when we would fix such holes.,frustrated,coverage / reception / signal,misinformation
583,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
585,The battery has never worked right. He says he cant use the phone much since the battery dies so often. Wants to know if this is a problem with his phone and if there are other batteries he can try. I referred him to web site.,frustrated,battery,unusable
586,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
587,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
589,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
591,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
592,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
593,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
595,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
596,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
598,Really wants the new phone from XVYX which has better camera built in.,analytical,new phone,camera
599,He expected significantly better Technical Support.,frustrated,technical,support
601,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
602,He expected significantly better Technical Support.,frustrated,technical,support
604,He expected significantly better Technical Support.,frustrated,technical,support
606,He expected significantly better Technical Support.,frustrated,technical,support
607,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
608,He expected significantly better Technical Support.,frustrated,technical,support
609,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
616,Cant get his call forwarding to work. I showed him how and how to get a couple of other features to work. I also pointed him to the web site.,frustrated,call forwarding,features
620,He lost his phone and called to cancel service. I told him we would suspend until we hear back from him. He will contact us soon.,,lost phone,service suspension
621,Cant get his call forwarding to work. I showed him how and how to get a couple of other features to work. I also pointed him to the web site.,frustrated,call forwarding,features
622,Wants to change address.,,update records,address
623,Cant get his call forwarding to work. I showed him how and how to get a couple of other features to work. I also pointed him to the web site.,frustrated,call forwarding,features
626,Wants to add additional lines for family. Needs more info on rates. I also advised him on the phones with dual SIM options,analytical,dual SIM,family plan
629,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
