ID,Gender,Status,Children,Est Income,Car Owner,Age,Marital Status,zipcode,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan,DeviceOwned,CHURN
394,F,M,2,36725.1,N,55.793333,,,8.65,9.22,77,0,CH,Budget,Standard,94.88,2,sam,F
398,M,S,1,94188.3,N,57.546667,,,20.86,0.86,19.78,0,CC,Budget,Standard,41.51,2,sam,T
401,F,M,2,91861,Y,41.98,,,15.32,0,6.74,0,CC,Budget,Standard,22.06,3,sam,F
404,F,S,1,12374.9,Y,33.493333,,,17.49,0,106.1,0,Auto,FreeLocal,Standard,123.59,3,sam,T
405,F,M,2,69133.9,Y,26.833333,,,8.58,0,37.73,0,CH,FreeLocal,Standard,46.32,2,sam,F
407,F,M,2,84948,Y,29.446667,,,11.14,0,12.58,0,CH,FreeLocal,Intnl_discount,23.73,3,sam,F
408,F,M,2,30998.8,N,40.96,,,2.4,0,50.5,0,Auto,Budget,Standard,52.91,2,sam,F
410,M,S,0,15924.2,N,14.46,,,0,0,1.46,0,CH,FreeLocal,Standard,1.46,2,sam,F
414,M,M,2,21416.5,N,35.653333,,,9.9,9.17,8.53,0,CC,FreeLocal,Intnl_discount,27.61,1,sam,F
418,M,M,2,78554.2,N,16.7,,,5.59,7.26,23.03,0,Auto,Budget,Standard,35.88,3,sam,F
419,M,S,1,3960.5,N,14.693333,,,29.78,0,66.35,0,Auto,FreeLocal,Standard,96.13,2,sam,T
421,M,M,0,60101.1,Y,63.766667,,,27.7,6.11,124.14,2,CH,FreeLocal,Standard,157.96,4,sam,T
422,F,M,2,38215.9,N,30.886667,,,0,0,0.97,0,Auto,Budget,Standard,0.97,2,sam,F
423,F,M,1,13829.4,N,22,,,28,0,160.42,0,CC,FreeLocal,Standard,176.61,1,sam,T
424,F,M,2,49745.3,N,47.966667,,,2.84,0,24.44,0,CH,Budget,Intnl_discount,27.28,3,sam,F
426,F,M,2,88427,N,13.86,,,22.46,4.16,43.34,0,CC,Budget,Standard,69.97,3,sam,F
427,F,M,2,98003.7,Y,26.273333,,,1.03,0,83.39,0,CC,FreeLocal,Intnl_discount,84.42,1,sam,F
428,M,S,0,89142.7,N,33,,,3.76,8.13,5.01,0,CC,Budget,Intnl_discount,16.91,2,sam,F
429,F,S,0,74530.8,N,63.086667,,,20.89,0.49,106.5,0,Auto,FreeLocal,Intnl_discount,127.89,2,sam,F
431,F,S,0,35000,N,23,,,30,0,262.91,0,CC,Budget,Standard,265.78,3,sam,T
436,F,M,2,76289.2,N,48.206667,,,22.2,0,82.43,0,CC,Budget,Intnl_discount,104.63,2,sam,F
438,M,M,1,66931.9,N,63.933333,,,11.72,0.39,5.35,0,CC,Budget,Standard,17.46,4,sam,T
439,F,D,1,9309.57,Y,24,,,40,0,99.73,0,CC,FreeLocal,Standard,108.3,2,sam,T
440,F,M,1,14085.5,N,23,,,26,0,26.78,0,Auto,FreeLocal,Intnl_discount,48.08,1,sam,T
441,F,S,0,32962.6,N,19,,,27,0,154.77,0,CC,Budget,Intnl_discount,168.28,2,sam,T
442,F,S,0,40000,N,20,,,26,0,61.44,0,CC,Budget,Standard,65.79,2,sam,T
443,F,S,2,33330,N,21,,,33,0,35.73,0,Auto,Budget,Standard,41.78,3,sam,T
444,F,S,1,32098,N,22,,,33,0,9.51,0,Auto,Budget,Intnl_discount,23.52,1,sam,T
445,F,S,2,30090,N,24,,,37,2.22,38.18,0,CC,FreeLocal,Standard,62.95,1,sam,T
446,F,S,1,40120,N,24,,,28.45,0,106.3,0,CC,Budget,Standard,134.75,4,sam,T
450,F,M,2,90271.6,N,44.926667,,,13.96,0,96.43,0,CC,FreeLocal,Standard,110.4,4,sam,F
455,F,M,2,64816.6,Y,31.126667,,,21,0,6.87,0,CC,Budget,Standard,27.87,2,sam,F
456,F,M,2,98217.1,N,44.98,,,29.49,0,13.24,0,CC,FreeLocal,Standard,42.74,1,sam,F
458,F,S,1,2929.13,N,53.506667,,,14,0,88.23,0,CH,Budget,Intnl_discount,102.23,1,sam,T
460,F,M,2,41876.6,Y,44.093333,,,6.78,0,132.65,0,CC,FreeLocal,Standard,139.44,3,sam,F
461,M,M,0,96223.4,Y,64.76,,,11.81,0.63,5.73,0,CC,FreeLocal,Standard,18.18,1,sam,T
462,F,S,0,15989.3,N,61.693333,,,3.67,0,25.49,1,CC,Budget,Intnl_discount,29.17,4,sam,T
463,M,M,0,69168.4,Y,62.426667,,,14.16,6.01,214.73,0,CC,Budget,Standard,234.91,2,sam,T
